fullAPCname,binomialAPCname,binomialPOWOname,POWOinfra,taxonRank
Drosera micrantha,Drosera micrantha,Drosera paleacea,,SPECIES
Cladium procerum,Cladium procerum,Cladium mariscus,,SPECIES
Stylidium involucratum,Stylidium involucratum,Stylidium breviscapum,,SPECIES
Megathyrsus maximus pubiglumis,Megathyrsus maximus,Panicum maximum,pubiglumis,VARIETY
Xerochrysum subundulatum,Xerochrysum subundulatum,Bracteantha subundulata,,SPECIES
Olearia muelleri,Olearia muelleri,Walsholaria muelleri,,SPECIES
Sida petrophila,Sida petrophila,Sida calyxhymenia,,SPECIES
Streblus brunonianus,Streblus brunonianus,Streblus pendulinus,,SPECIES
Blechnum minus,Blechnum minus,Parablechnum minus,,SPECIES
Astroloma foliosum,Astroloma foliosum,Styphelia foliosa,,SPECIES
Utricularia monanthos,Utricularia monanthos,Utricularia dichotoma,,SPECIES
Pittosporum angustifolium,Pittosporum angustifolium,Pittosporum phillyraeoides,,SPECIES
Salsola australis,Salsola australis,Kali tragus,,SPECIES
Senecio picridioides,Senecio picridioides,Erechtites picridioides,,SPECIES
Lagunaria patersonia,Lagunaria patersonia,Lagunaria patersonii,,SPECIES
Sanguisorba minor,Sanguisorba minor,Poterium sanguisorba,,SPECIES
Boronia nana hyssopifolia,Boronia nana,Cyanothamnus nanus,hyssopifolia,VARIETY
Callitris glaucophylla,Callitris glaucophylla,Callitris columellaris,,SPECIES
Billardiera fusiformis,Billardiera fusiformis,Billardiera heterophylla,,SPECIES
Rhagodia preissii preissii,Rhagodia preissii,Chenopodium preissii,preissii,SUBSPECIES
Dipodium punctatum,Dipodium punctatum,Dipodium squamatum,,SPECIES
Jasminum singuliflorum,Jasminum singuliflorum,Jasminum dallachyi,,SPECIES
Glossodia minor,Glossodia minor,Caladenia minorata,,SPECIES
Diploglottis australis,Diploglottis australis,Diploglottis cunninghamii,,SPECIES
Olearia elliptica,Olearia elliptica,Phaseolaria elliptica,,SPECIES
Tasmannia lanceolata,Tasmannia lanceolata,Drimys aromatica,,SPECIES
Olearia calcarea,Olearia calcarea,Walsholaria calcarea,,SPECIES
Boronia anemonifolia variabilis,Boronia anemonifolia,Cyanothamnus anemonifolius,variabilis,SUBSPECIES
Eriobotrya japonica,Eriobotrya japonica,Rhaphiolepis loquata,,SPECIES
Ozothamnus ferrugineus,Ozothamnus ferrugineus,Ozothamnus argophyllus,,SPECIES
Viola cleistogamoides,Viola cleistogamoides,Viola hederacea,,SPECIES
Boronia occidentalis,Boronia occidentalis,Cyanothamnus occidentalis,,SPECIES
Euphorbia cyathophora,Euphorbia cyathophora,Euphorbia heterophylla,,SPECIES
Rutidosis leptorhynchoides,Rutidosis leptorhynchoides,Rutidosis leptorrhynchoides,,SPECIES
Boronia nana,Boronia nana,Cyanothamnus nanus,,SPECIES
Allittia cardiocarpa,Allittia cardiocarpa,Brachyscome cardiocarpa,,SPECIES
Cissus hypoglauca,Cissus hypoglauca,Nothocissus hypoglauca,,SPECIES
Corybas grumulus,Corybas grumulus,Corybas diemenicus,,SPECIES
