taxon_name,aus_native
Acacia euthycarpa subsp. oblanceolata,TRUE
Acacia euthyphylla,TRUE
Acacia evenulosa,TRUE
Acacia everistii,TRUE
Acacia excelsa,TRUE
Acacia excelsa subsp. angusta,TRUE
Acacia excelsa subsp. excelsa,TRUE
Acacia excentrica,TRUE
Acacia exigua,TRUE
Acacia exigua,TRUE
Acacia exocarpoides,TRUE
Acacia extensa,TRUE
Acacia exudans,TRUE
Acacia fagonioides,TRUE
Acacia falcata,TRUE
Acacia falciformis,TRUE
Acacia farinosa,TRUE
Vachellia farnesiana,FALSE
Acacia fasciculifera,TRUE
Acacia faucium,TRUE
Acacia fauntleroyi,TRUE
Acacia fecunda,TRUE
Acacia ferocior,TRUE
Acacia filamentosa,TRUE
Acacia filicifolia,TRUE
Acacia filifolia,TRUE
Acacia filipes,TRUE
Acacia fimbriata,TRUE
Acacia flabellifolia,TRUE
Acacia flagelliformis,TRUE
Acacia flavescens,TRUE
Acacia flavipila,TRUE
Acacia flavipila var. flavipila,TRUE
Acacia flavipila var. ovalis,TRUE
Acacia fleckeri,TRUE
Acacia flexifolia,TRUE
Acacia flocktoniae,TRUE
Acacia floribunda,TRUE
Acacia floydii,TRUE
Acacia fodinalis,TRUE
Acacia formidabilis,TRUE
Acacia forrestiana,TRUE
Acacia forsythii,TRUE
Acacia fragilis,TRUE
Acacia fraternalis,TRUE
Acacia frigescens,TRUE
Acacia froggattii,TRUE
Acacia fulva,TRUE
Acacia fuscaneura,TRUE
Acacia galeata,TRUE
Acacia galioides,TRUE
Acacia gardneri,TRUE
Acacia gelasina,TRUE
Acacia gemina,TRUE
Acacia genistifolia,TRUE
Acacia georgensis,TRUE
Acacia georginae,TRUE
Acacia gibbosa,TRUE
Acacia gibsonii,TRUE
Acacia gilbertii,TRUE
Acacia gilesiana,TRUE
Acacia gillii,TRUE
Acacia gittinsii,TRUE
Acacia gladiiformis,TRUE
Acacia glandulicarpa,TRUE
Acacia anceps,TRUE
Acacia glaucissima,TRUE
Acacia glaucocaesia,TRUE
Acacia glaucocarpa,TRUE
Acacia glaucoptera,TRUE
Acacia gloeotricha,TRUE
Acacia glutinosissima,TRUE
Acacia gnidium,TRUE
Acacia gonocarpa,TRUE
Acacia gonoclada,TRUE
Acacia gonophylla,TRUE
Acacia gordonii,TRUE
Acacia gracilenta,TRUE
Acacia gracilifolia,TRUE
Acacia graciliformis,TRUE
Acacia minniritchi,TRUE
Acacia grandifolia,TRUE
Acacia granitica,TRUE
Acacia graniticola,TRUE
Acacia grasbyi,TRUE
Acacia gregorii,TRUE
Acacia grisea,TRUE
Acacia guinetii,TRUE
Acacia gunnii,TRUE
Acacia guymeri,TRUE
Acacia hadrophylla,TRUE
Acacia haematites,TRUE
Acacia hakeoides,TRUE
Acacia halliana,TRUE
Acacia hamersleyensis,TRUE
Acacia hamiltoniana,TRUE
Acacia hammondii,TRUE
Acacia handonis,TRUE
Acacia harpophylla,TRUE
Acacia harveyi,TRUE
Acacia hastulata,TRUE
