taxon_name,mean_fires,mean_fri,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,warnings,messages,error
Brachyscome stuartii,0.8132911392405062,25.402957198443584,22.635507443687118,28.941370905994354,0.8352665060836268,0.984855905469254,130,316,NA,NA,NA
Brachyscome tadgellii,0.7666666666666668,26.947826086956518,19.129730128202407,45.572959031643904,0.60119940029985,0.9549894311857466,11,30,NA,NA,NA
Brachyscome tenuiscapa,0.45360824742268036,45.5459090909091,35.15752446647488,64.6482446876747,0.9195075757575758,0.7001765193773658,61,97,NA,NA,NA
Brachyscome tenuiscapa var. tenuiscapa,0.06756756756756756,305.76800000000003,162.94255407929458,2476.62926912513,0.9452054794520548,0.6109609824429012,69,74,NA,NA,NA
Brachyscome trachycarpa,0.08333333333333334,247.92,162.69509660135145,520.6566123291885,1.9281437125748495,6.490296310776422e-12,158,168,NA,NA,NA
Brachyscome triloba,0.4000000000000001,51.64999999999999,30.508611113275343,168.22166976398506,0.8947368421052629,0.5898678221289582,13,20,NA,NA,NA
Brachyscome walshii,1,20.66,6.97972972972973,-21.520833333333336,NaN,1,0,1,NA,NA,NA
Brachyscome whitei,0.019230769230769232,1074.32,362.94594594594594,-1119.0833333333335,0.9999999999999999,0.4736606532819695,51,52,NA,NA,NA
Brachyscome willisii,0.3849372384937239,53.671086956521734,46.895071851297566,62.7360083536776,1.0193692461945123,0.3749505328535794,325,478,NA,NA,NA
Brasenia schreberi,0.36986301369863017,55.858518518518515,40.55941785250905,89.689649440568175,1.0144032921810695,0.44372392049887005,51,73,NA,NA,NA
Breynia cernua,2.245056497175141,9.202441019188425,8.8932882256791,9.53386173950059,5.458389363946482,0,708,1416,NA,NA,NA
Breynia oblongifolia,0.3272821576763485,63.12595879556261,60.99748494944147,65.40834726768861,1.4113745515815064,2.0166072629912684e-142,7265,9640,NA,NA,NA
Bridelia insulana,0.017543859649122806,1177.6200000000001,397.8445945945946,-1226.6874999999995,0.9999999999999999,0.4748644118569201,56,57,NA,NA,NA
Bridelia leichhardtii,0.5092592592592593,40.56872727272727,34.18102320302767,49.89258755222108,2.2465961945031703,1.1829842881324332e-22,161,216,NA,NA,NA
