non_matching_taxa,matched_with_gbif,no_occurrences
Diuris punctata var. sulfurea,NA,
Enchylaena tomentosa f. c (coastal glabrous form),NA,
Enneapogon pallidus var. pallidus,NA,
Eryngium sp. Subdecumbens (G.J.Keighery 5390),Eryngium rostratum Cav.,88
Eucalyptus sp. Castlemaine (K.Rule 8203),NA,
Eucalyptus aromaphloia subsp. Major Mitchell Plateau (K.Rule 04127),NA,
Eucalyptus sp. Mornington Peninsula (K.Rule 210),NA,
Eucalyptus aff. goniocalyx (Dandenong Ranges),NA,
Eucalyptus aff. porosa (Quambatook),NA,
Eucalyptus aff. rubida (Moroka),NA,
Eucalyptus aff. serraensis (Mt William),NA,
Grevillea chrysophaea Brisbane Ranges form,NA,
Grevillea chrysophaea Gippsland form,NA,
Grevillea chrysophaea Holey Plains form,NA,
Grevillea linearifolia f. 'Southern Submontane form',Grevillea neurophylla Gand.,218
Hibbertia sericea var. densiflora,NA,
Huperzia myrtifolia,Huperzia myrtifolia (G.Forst.) Holub,2
Agrostis scabra var. scabra,NA,
Leucopogon sp. Coolmunda (D.Halford Q1635),NA,
"Olearia sp. Carnarvon NP (W.Morley, AQ249966)",NA,
Orthoceras sp. aff. strictum,Orthoceras strictum R.Br.,1388
Persoonia sp. E,NA,
Prasophyllum sp. aff. fitzgeraldii B,NA,
Prasophyllum sp. aff. fitzgeraldii D,NA,
Prasophyllum aff. montanum B,NA,
Prasophyllum sp. 'Murchison',NA,
Prasophyllum asinantum,Prasophyllum asinantum R.J.Bates,1
Prasophyllum obovatum,Genoplesium rufum (R.Br.) D.L.Jones & M.A.Clem.,735
Prasophyllum sp. aff. odoratum M,NA,
Prasophyllum sp. aff. validum A,NA,
Prostanthera ovalifolia var. latifolia,Prostanthera ovalifolia R.Br.,1007
Pterostylis sp. aff. aciculiformis (Beechworth),NA,
Pterostylis sp. 'Wilsons Promontory',NA,
Pterostylis coccinea,Pterostylis coccina Fitzg.,489
Pterostylis sp. aff. aciculiformis (Stawell),Pterostylis aciculiformis (Nicholls) M.A.Clem. & D.L.Jones,305
Pterostylis sp. aff. alata (Coastal),Pterostylis alata (Labill.) Rchb.f.,942
Pterostylis sp. aff. bicolor (Woorndoo),Pterostylis agrestis (D.L.Jones) G.N.Backh.,28
Pterostylis sp. aff. biseta (Lara),Pterostylis despectans (Nicholls) M.A.Clem. & D.L.Jones,1504
Pterostylis sp. 'Beechworth',NA,
Pterostylis sp. aff. boormanii (Sunset Country),NA,
Pterostylis sp. aff. dolichochila (Portland),Pterostylis dolichochila D.L.Jones & M.A.Clem.,286
Pterostylis sp. aff. excelsa,NA,
Pultenaea elusa,Pultenaea parrisiae subsp. elusa J.D.Briggs & Crisp,3
Rytidosperma sp. South-west Swamps (A.C.Beauglehole 22255),NA,
Salsola strobilifera,Salsola strobilifera (Benth.) Mosyakin,0
Senecio helichrysoides,Senecio helichrysoides F.Muell.,3
Sprengelia incarnata var. brevistylis,NA,
Stegostyla angustata,Caladenia gracilis R.Br.,1163
Thelymitra ixioides var. subdifformis,NA,
